"","sex_of_driver","age_band_of_driver","1-3 Points","5-8 Points","9-12 Points","12+ Points","total","percentage"
"1","Female","16-20",4461,1311,112,5960,11844,0.205400129649727
"2","Male","16-20",14534,8438,937,24436,48345,0.838405037817972
"3","Female","21-25",36164,10406,1606,49008,97184,1.6853770854339
"4","Male","21-25",75302,38421,6884,123432,244039,4.23215486656449
"5","Female","26-35",126702,37309,5685,172954,342650,5.94227916451191
"6","Male","26-35",240895,110103,21198,381464,753660,13.0700660006597
"7","Female","36-45",152690,41550,6421,204172,404833,7.02066452942317
"8","Male","36-45",288099,111565,22433,431494,853591,14.8030819037353
"9","Female","46-55",150747,34383,5741,193197,384068,6.66055530178246
"10","Male","46-55",299087,94848,19778,420366,834079,14.4647023588412
"11","Female","56-65",120452,22376,3705,147855,294388,5.10531352307699
"12","Male","56-65",285238,75755,16157,381384,758534,13.1545915183828
"13","Female","66-75",53218,7542,1103,62201,124064,2.15153340804321
"14","Male","66-75",143090,28389,5517,178263,355259,6.1609460198609
"15","Female","75+",31937,3393,462,35929,71721,1.24379455408714
"16","Male","75+",80984,11043,1783,94237,188047,3.2611345981292
