"","age_band_of_driver","sex_of_driver","group_collisions","total_collisions","...1","1-3 Points","5-8 Points","9-12 Points","12+ Points","total","measure","percentage"
"1","16-20","Female",26625,356525,1,4461,1311,112,5960,11844,"Collisions",7.46791950073627
"2","16-20","Female",26625,356525,1,4461,1311,112,5960,11844,"Penalty Points",0.205400129649727
"3","16-20","Male",7932,356525,2,14534,8438,937,24436,48345,"Collisions",2.22480891943062
"4","16-20","Male",7932,356525,2,14534,8438,937,24436,48345,"Penalty Points",0.838405037817972
"5","21-25","Female",30895,356525,3,36164,10406,1606,49008,97184,"Collisions",8.66559147324872
"6","21-25","Female",30895,356525,3,36164,10406,1606,49008,97184,"Penalty Points",1.6853770854339
"7","21-25","Male",13592,356525,4,75302,38421,6884,123432,244039,"Collisions",3.8123553747984
"8","21-25","Male",13592,356525,4,75302,38421,6884,123432,244039,"Penalty Points",4.23215486656449
"9","26-35","Female",60773,356525,5,126702,37309,5685,172954,342650,"Collisions",17.0459294579623
"10","26-35","Female",60773,356525,5,126702,37309,5685,172954,342650,"Penalty Points",5.94227916451191
"11","26-35","Male",27120,356525,6,240895,110103,21198,381464,753660,"Collisions",7.60675969427109
"12","26-35","Male",27120,356525,6,240895,110103,21198,381464,753660,"Penalty Points",13.0700660006597
"13","36-45","Female",43028,356525,7,152690,41550,6421,204172,404833,"Collisions",12.0687188836687
"14","36-45","Female",43028,356525,7,152690,41550,6421,204172,404833,"Penalty Points",7.02066452942317
"15","36-45","Male",20492,356525,8,288099,111565,22433,431494,853591,"Collisions",5.74770352710189
"16","36-45","Male",20492,356525,8,288099,111565,22433,431494,853591,"Penalty Points",14.8030819037353
"17","46-55","Female",36267,356525,9,150747,34383,5741,193197,384068,"Collisions",10.1723581796508
"18","46-55","Female",36267,356525,9,150747,34383,5741,193197,384068,"Penalty Points",6.66055530178246
"19","46-55","Male",17591,356525,10,299087,94848,19778,420366,834079,"Collisions",4.93401584741603
"20","46-55","Male",17591,356525,10,299087,94848,19778,420366,834079,"Penalty Points",14.4647023588412
"21","56-65","Female",24373,356525,11,120452,22376,3705,147855,294388,"Collisions",6.83626674146273
"22","56-65","Female",24373,356525,11,120452,22376,3705,147855,294388,"Penalty Points",5.10531352307699
"23","56-65","Male",11126,356525,12,285238,75755,16157,381384,758534,"Collisions",3.1206787742795
"24","56-65","Male",11126,356525,12,285238,75755,16157,381384,758534,"Penalty Points",13.1545915183828
"25","66-75","Female",10669,356525,13,53218,7542,1103,62201,124064,"Collisions",2.99249701984433
"26","66-75","Female",10669,356525,13,53218,7542,1103,62201,124064,"Penalty Points",2.15153340804321
"27","66-75","Male",5326,356525,14,143090,28389,5517,178263,355259,"Collisions",1.49386438538672
"28","66-75","Male",5326,356525,14,143090,28389,5517,178263,355259,"Penalty Points",6.1609460198609
"29","75+","Female",7815,356525,15,31937,3393,462,35929,71721,"Collisions",2.19199214641329
"30","75+","Female",7815,356525,15,31937,3393,462,35929,71721,"Penalty Points",1.24379455408714
"31","75+","Male",4273,356525,16,80984,11043,1783,94237,188047,"Collisions",1.19851342823084
"32","75+","Male",4273,356525,16,80984,11043,1783,94237,188047,"Penalty Points",3.2611345981292
